movement,V1-hi,V1-lo,V2-hi,V2-lo,VA-hi,VA-lo,VC-hi,VC-lo
071_2m1,A6,G3,E6,G3,F#5,C#3,A4,D2
071_2m2,A6,G3,D6,G3,C#5,C3,A4,C2
071_2m3,D6,G#3,E5,G3,B4,C#3,E4,C#2
071_2m4,A6,A3,A5,G#3,F#5,C#3,A4,C#2
071_3m1,G6,G3,A-5,G3,E-5,C3,G4,E-2
071_3m2,B-6,A-3,E-6,A-3,F5,C3,D4,D-2
071_3m3,B-6,C4,G5,G3,E-5,D3,C4,C2
071_3m4,F6,G3,B-5,G3,E-5,D3,G4,C2
074_1m1,G6,G3,C6,G3,D5,C3,A4,C2
074_1m2,G6,G3,C6,G3,E5,C3,B4,C2
074_1m3,G6,G3,F5,G3,D5,C3,E-4,C2
074_1m4,F6,G3,B-5,G3,E5,C3,G4,B1
074_2m1,G6,G3,E6,G3,E5,D3,G4,C2
074_2m2,G6,G3,E6,G3,E5,D3,G4,C2
074_2m3,G6,G3,E6,G3,E5,D3,G4,C2
074_2m4,G6,G3,E6,G3,E5,D3,G4,C2
074_3m1,G6,G3,A5,G3,E-5,C3,F4,C2
074_3m2,E6,G3,F#5,G#3,B4,D3,A4,C2
074_3m3,E6,A3,C6,A3,E-5,C3,E-4,D2
074_3m4,B-6,G3,D6,G3,E5,C#3,F4,C2
076_1m1,G6,G3,D6,G3,D5,D3,A4,C2
076_1m2,E7,G3,D6,G3,C5,C3,G4,C2
076_1m3,G6,G3,G5,A3,D5,F#3,D4,D2
076_1m4,B-6,A-3,C6,G3,E5,C3,E-4,C2
076_2m1,B-6,G3,D6,G3,F5,C3,G4,C2
076_2m2,A6,A3,F5,A3,B4,E-3,D4,C2
076_2m3,D7,D4,B5,A3,B4,C#3,D4,C#2
076_2m4,F6,G3,D6,G3,F5,C3,G4,C2
076_3m1,C7,G3,B5,G3,F#5,C3,A-4,C2
076_3m2,G6,G3,D6,G3,G5,C3,B4,D2
076_3m3,F6,G3,C6,G3,D5,D3,F4,C#2
076_3m4,F6,A3,E-6,G3,F5,C3,A4,C2
076_4m1,A-6,G3,C6,G3,E-5,C3,C5,C2
076_4m2,C7,G3,B-5,G3,C5,C3,E4,C2
076_4m3,F6,B-3,G5,A3,C5,C3,E-4,C2
